('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8583380518432119, 16.146723985671997)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8573100885614376, 21.80099892616272)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8400058696730186, 21.8803551197052)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.0484232902526855)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8531662564332066, 18.132319927215576)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8592479886911072, 19.907989025115967)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8511948293335866, 20.416640758514404)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8580113687310643, 20.80881977081299)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8590242024515715, 22.03310799598694)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8636610783869505, 22.68358302116394)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8578220149652285, 21.542327880859375)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8626378896882494, 26.89283514022827)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8419020608013602, 27.544972896575928)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8369727725430062, 30.411396980285645)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.851603735553551, 17.448418140411377)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8559594121324015, 13.63683819770813)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.856088632782186, 17.000688791275024)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8588408169031366, 18.98781108856201)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8588250575556968, 20.45838975906372)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8557334488666395, 17.40536618232727)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8649886621315194, 18.5547878742218)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8585383453942963, 17.1857430934906)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8562084329878644, 18.892751216888428)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8576272147222413, 26.554547786712646)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8474566305249495, 19.232630968093872)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8513142031335154, 15.28148102760315)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8534452291070034, 21.29110288619995)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8620034539317386, 17.778488636016846)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8616743047157616, 21.588223934173584)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8611626328884867, 21.295358896255493)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.867093106380954, 26.395599842071533)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8589824962397298, 18.651932954788208)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8557334488666395, 19.105342864990234)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.856088632782186, 18.415894031524658)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8513142031335154, 20.25941300392151)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8585383453942963, 15.04221487045288)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.851603735553551, 17.2628231048584)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8474566305249495, 22.219507932662964)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8534452291070034, 21.495535850524902)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8970652173913043, 30.566265106201172)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8759519732800685, 24.14837908744812)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8588250575556968, 20.317360877990723)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8559671021520175, 16.421281099319458)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8592926334760081, 16.41953992843628)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8518064541982687, 20.15656304359436)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8491015169194865, 20.796125173568726)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.856384635846472, 19.690901041030884)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8580935496502466, 19.06347966194153)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8419020608013602, 23.87377405166626)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8550020689307161, 25.874846935272217)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8633204944600262, 24.12233877182007)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8369727725430062, 28.91587805747986)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8556806413413067, 16.72269105911255)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8520640839671302, 15.630499124526978)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8615443085200969, 17.51059126853943)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8670707485152944, 16.802359104156494)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8575453904789573, 19.338491916656494)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8570418980312973, 14.00014591217041)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.897049154775593, 22.162523984909058)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8619038824254321, 17.37667989730835)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8517397799327735, 13.711066246032715)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8590093396378709, 17.42255210876465)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8575028453360354, 15.09520411491394)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8601985406001276, 16.42695713043213)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8620943155157967, 16.061291933059692)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8520453197248916, 14.621174097061157)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8583669662003512, 16.62609577178955)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8556806413413067, 12.896529197692871)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8575028453360354, 13.150817632675171)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8593044307960588, 18.805713891983032)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8491015169194865, 16.918781995773315)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8580935496502466, 12.854227066040039)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.856384635846472, 13.755121946334839)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8518064541982687, 13.533193111419678)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8550020689307161, 17.096939086914062)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8593044307960588, 13.20128607749939)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> ED -> CART', 'accuracy', 0.8584591914569032, 4.440172910690308)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8518782566206335, 17.616034984588623)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.860980761419069, 17.947683095932007)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8576526765518974, 18.112402200698853)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8495168640024235, 18.5312659740448)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8686882011744965, 18.514235973358154)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8560718294051627, 20.22602605819702)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8617847448133779, 21.173415184020996)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.851765460053991, 23.497339963912964)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8770639750799324, 35.02773928642273)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8533778502462299, 19.460883140563965)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8562849776171259, 19.65131187438965)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.853983885407341, 17.692747116088867)
('adult', 'learn2clean', 'CART', 'income', None, 'ZSB -> CART', 'accuracy', 0.8561539747601407, 19.950918912887573)
